frequency_hz,V6,V8,inline-4,inline-6,single-cylinder
2067.1875,-11.265386396597151,-13.408835475697533,-12.267493917521527,-12.121998064085028,-10.525914276670262
2077.9541015625,-11.307071782984227,-13.429841740287404,-12.320050555940997,-12.131728790385191,-10.573748190163911
2088.720703125,-11.346915405053494,-13.465357747248916,-12.309945078364073,-12.18058964810406,-10.58844285499716
2099.4873046875,-11.427257858243099,-13.521266954865691,-12.345457657794743,-12.21505397121182,-10.63277820729457
2110.25390625,-11.498729972416953,-13.599364289245155,-12.368100387639387,-12.267363685613129,-10.679596907241777
2121.0205078125,-11.52252057829823,-13.599549881964691,-12.382249800892481,-12.266313448993754,-10.703648851074908
2131.787109375,-11.581879027910468,-13.674825114753492,-12.414083622497952,-12.29699230787671,-10.741831308951019
2142.5537109375,-11.634678825746235,-13.703831240313352,-12.446152249423625,-12.314989495674244,-10.772770719480812
2153.3203125,-11.659397819459773,-13.742962980466416,-12.442119235226665,-12.358321542948138,-10.817960391039854
2164.0869140625,-11.688147422008363,-13.802125600330545,-12.485219655264885,-12.361972581475337,-10.854655946822572
2174.853515625,-11.760906140663028,-13.854691990023579,-12.465382544830424,-12.442086461725394,-10.884508900584304
2185.6201171875,-11.792112574446318,-13.864477504709555,-12.559783485294426,-12.456200107506787,-10.89338663128243
2196.38671875,-11.865970129621356,-13.872100215948056,-12.543943741555152,-12.47288370541414,-10.91918978466318
2207.1533203125,-11.895755441784118,-13.898076056144149,-12.584599496625929,-12.481539453584773,-10.945169427090667
2217.919921875,-11.9446147968419,-13.984776114422278,-12.612618799898971,-12.550861495672914,-10.984625927573138
2228.6865234375,-11.943447108782156,-13.971442649702283,-12.65266319562079,-12.601437111761586,-11.035807166537762
2239.453125,-11.96361949004292,-14.02316718961304,-12.671746752291874,-12.635039500373558,-11.040657288573248
2250.2197265625,-12.011838620515412,-14.072374024502903,-12.705162270253108,-12.650484413492467,-11.07416316747664
2260.986328125,-12.091014250208143,-14.08536873850072,-12.737767295642534,-12.687358360271668,-11.101585846439304
2271.7529296875,-12.127038322663008,-14.09386822883961,-12.789748995731525,-12.68023810609964,-11.109152600928507
2282.51953125,-12.160077857592078,-14.128136223999217,-12.807814262350744,-12.715423772764344,-11.16074180088854
2293.2861328125,-12.13521610791625,-14.19114570016113,-12.85976537329633,-12.758507690746125,-11.182198131916289
2304.052734375,-12.180438184570573,-14.207412975485862,-12.875490598474823,-12.784228055468013,-11.209039758486677
2314.8193359375,-12.219862461266459,-14.215823055308547,-12.92444363799408,-12.808694250813014,-11.20780639705987
2325.5859375,-12.287768749634672,-14.267871743824042,-12.937361767659763,-12.793803659620002,-11.238520588669651
2336.3525390625,-12.303126448346397,-14.291040191152788,-12.990412182944855,-12.832179689488116,-11.2684345234586
2347.119140625,-12.322342076987006,-14.31749406117266,-13.020575662827559,-12.829915703342593,-11.275923218641664
2357.8857421875,-12.304847327241074,-14.335287097773321,-13.071893083908796,-12.85470522911512,-11.26939396126545
2368.65234375,-12.305217691396159,-14.380551512867306,-13.077151236217327,-12.87977733827643,-11.302579025439108
2379.4189453125,-12.313167886474211,-14.411219896214686,-13.141054274909289,-12.887761327965093,-11.312446708793077
2390.185546875,-12.36250854682607,-14.419330282873958,-13.199219439329047,-12.895106138560914,-11.3241965871012
2400.9521484375,-12.372181414782354,-14.458278803381447,-13.253979698880679,-12.952266747642485,-11.336358493024902
2411.71875,-12.379600906638913,-14.472833636547772,-13.306295375111969,-12.9674409835411,-11.363913816501265
2422.4853515625,-12.356894863842687,-14.492766254718845,-13.341979967749017,-13.039170926254627,-11.36792912410557
2433.251953125,-12.40077826055986,-14.525095779935533,-13.379527273358036,-13.040810294324622,-11.388725292204912
2444.0185546875,-12.419119406329159,-14.531598464433344,-13.42177339193967,-13.074297842863006,-11.379294605306061
2454.78515625,-12.473033373009429,-14.581119274420978,-13.4951098588975,-13.101721647305864,-11.407314233754247
2465.5517578125,-12.501735977447535,-14.606124957071117,-13.551893549520365,-13.132557978218266,-11.414253996161582
2476.318359375,-12.551079834116884,-14.658764921644018,-13.591454581087023,-13.174564685009406,-11.435152486992651
2487.0849609375,-12.571705024160615,-14.692638600960372,-13.631026700788265,-13.21315084014769,-11.436707268896225
2497.8515625,-12.570657426039652,-14.711247508628297,-13.670408897950242,-13.212661007002302,-11.449355543584781
2508.6181640625,-12.594545976830219,-14.75989495191076,-13.70961901372653,-13.230302822495762,-11.45865262188958
