engine_configuration,bootstrap,theta_max_deg,r_ref,r_used,n_train_clips,n_sampled_clips,n_frames_sampled
single-cylinder,16,15.000925064086914,4,4,41,29,1450
single-cylinder,17,10.59011173248291,4,4,41,29,1450
single-cylinder,18,18.941667556762695,4,3,41,29,1450
single-cylinder,19,5.304926872253418,4,4,41,29,1450
single-cylinder,20,22.56453514099121,4,4,41,29,1450
single-cylinder,21,4.955707550048828,4,4,41,29,1450
single-cylinder,22,38.83205032348633,4,3,41,29,1450
single-cylinder,23,14.072135925292969,4,4,41,29,1450
single-cylinder,24,28.587268829345703,4,3,41,29,1450
single-cylinder,25,4.443515300750732,4,3,41,29,1450
single-cylinder,26,7.259905815124512,4,3,41,29,1450
single-cylinder,27,26.46376609802246,4,3,41,29,1450
single-cylinder,28,9.366447448730469,4,4,41,29,1450
single-cylinder,29,6.208261489868164,4,4,41,29,1450
single-cylinder,30,13.560826301574707,4,4,41,29,1450
single-cylinder,31,25.514854431152344,4,3,41,29,1450
single-cylinder,32,12.048859596252441,4,4,41,29,1450
single-cylinder,33,13.627039909362793,4,4,41,29,1450
single-cylinder,34,8.572260856628418,4,4,41,29,1450
single-cylinder,35,8.395430564880371,4,4,41,29,1450
single-cylinder,36,11.812111854553223,4,4,41,29,1450
single-cylinder,37,10.706106185913086,4,4,41,29,1450
single-cylinder,38,15.955510139465332,4,3,41,29,1450
single-cylinder,39,14.692972183227539,4,4,41,29,1450
single-cylinder,40,10.120844841003418,4,4,41,29,1450
single-cylinder,41,15.65613842010498,4,3,41,29,1450
single-cylinder,42,15.2716703414917,4,3,41,29,1450
single-cylinder,43,13.714892387390137,4,4,41,29,1450
single-cylinder,44,16.491493225097656,4,4,41,29,1450
single-cylinder,45,8.407444953918457,4,4,41,29,1450
single-cylinder,46,36.6526985168457,4,3,41,29,1450
single-cylinder,47,10.607992172241211,4,4,41,29,1450
single-cylinder,48,11.114606857299805,4,4,41,29,1450
single-cylinder,49,14.746210098266602,4,4,41,29,1450
single-cylinder,50,12.222919464111328,4,4,41,29,1450
single-cylinder,51,7.726340293884277,4,4,41,29,1450
single-cylinder,52,11.848724365234375,4,4,41,29,1450
single-cylinder,53,34.36492919921875,4,3,41,29,1450
single-cylinder,54,15.103182792663574,4,3,41,29,1450
single-cylinder,55,11.778999328613281,4,4,41,29,1450
single-cylinder,56,10.304311752319336,4,3,41,29,1450
single-cylinder,57,28.651029586791992,4,3,41,29,1450
single-cylinder,58,10.8499755859375,4,4,41,29,1450
single-cylinder,59,35.9288444519043,4,3,41,29,1450
single-cylinder,60,10.416199684143066,4,4,41,29,1450
single-cylinder,61,37.25255584716797,4,3,41,29,1450
single-cylinder,62,21.90035057067871,4,3,41,29,1450
single-cylinder,63,11.259387016296387,4,4,41,29,1450
single-cylinder,64,6.9687180519104,4,4,41,29,1450
single-cylinder,65,18.546791076660156,4,4,41,29,1450
single-cylinder,66,11.576683044433594,4,4,41,29,1450
single-cylinder,67,12.244789123535156,4,4,41,29,1450
single-cylinder,68,12.508832931518555,4,4,41,29,1450
single-cylinder,69,10.102560043334961,4,4,41,29,1450
single-cylinder,70,8.412652015686035,4,3,41,29,1450
single-cylinder,71,8.02147388458252,4,4,41,29,1450
single-cylinder,72,9.374482154846191,4,4,41,29,1450
single-cylinder,73,5.0850372314453125,4,4,41,29,1450
single-cylinder,74,19.25916862487793,4,3,41,29,1450
single-cylinder,75,9.03078556060791,4,4,41,29,1450
single-cylinder,76,18.64467430114746,4,4,41,29,1450
single-cylinder,77,32.62363815307617,4,3,41,29,1450
single-cylinder,78,15.98227310180664,4,4,41,29,1450
single-cylinder,79,13.417009353637695,4,3,41,29,1450
single-cylinder,80,9.860391616821289,4,3,41,29,1450
single-cylinder,81,9.53586483001709,4,4,41,29,1450
single-cylinder,82,12.568263053894043,4,4,41,29,1450
single-cylinder,83,14.401823997497559,4,4,41,29,1450
single-cylinder,84,32.17486572265625,4,3,41,29,1450
single-cylinder,85,7.656551837921143,4,4,41,29,1450
single-cylinder,86,9.764425277709961,4,4,41,29,1450
single-cylinder,87,8.354068756103516,4,4,41,29,1450
single-cylinder,88,6.6802568435668945,4,3,41,29,1450
single-cylinder,89,7.608341217041016,4,4,41,29,1450
single-cylinder,90,9.869939804077148,4,4,41,29,1450
single-cylinder,91,2.746875524520874,4,3,41,29,1450
single-cylinder,92,13.3900785446167,4,3,41,29,1450
single-cylinder,93,27.53630828857422,4,3,41,29,1450
single-cylinder,94,25.236549377441406,4,3,41,29,1450
single-cylinder,95,23.289077758789062,4,3,41,29,1450
single-cylinder,96,11.881511688232422,4,4,41,29,1450
single-cylinder,97,20.781490325927734,4,4,41,29,1450
single-cylinder,98,21.068424224853516,4,4,41,29,1450
single-cylinder,99,9.657648086547852,4,3,41,29,1450
